"Code","Name","Latitude","Longitude","No_Observed","Number_By_Party_Hours","year","bird"
"BCSI","Skidegate Inlet",53.2112,-131.9876,"32",1.0847,"2012","NPT"
"OKOC","Oklahoma City",35.5368,-97.5834,"32",0.3122,"2012","NPT"
"ORCB","Coos Bay",43.3759,-124.2973,"32",0.2771,"2012","NPT"
"TXAZ","Anzalduas-Bentsen",26.2235,-98.3944,"32",0.3216,"2012","NPT"
"FLST","Stuart",27.2121,-80.2624,"32",0.2038,"2012","NPT"
"TXSG","San Angelo",31.4439,-100.4823,"32",0.547,"2012","NPT"
"HIWO","O'ahu: Waipi'o",21.4618,-158.0128,"31",0.7416,"2012","NPT"
"FLKV","Kissimmee Valley",28.2062,-81.3936,"31",0.8158,"2012","NPT"
"TXLG","Longview",32.3765,-94.7162,"31",0.4079,"2012","NPT"
"CACO","Chico",39.722,-121.8238,"30",0.4286,"2012","NPT"
"TXCC","Corpus Christi",27.8334,-97.5833,"30",0.2765,"2012","NPT"
"SCSN","Santee N.W.R.",33.5104,-80.408,"30",0.3432,"2012","NPT"
"AZGR","Gila River",33.3071,-112.6833,"29",0.1315,"2012","NPT"
"NMLA","Lakes Avalon-Brantley",32.5661,-104.294,"29",0.7223,"2012","NPT"
"OHMO","Mohican State Forest",40.5818,-82.3042,"29",0.5421,"2012","NPT"
"MOCO","Columbia",38.8915,-92.3348,"28",0.2368,"2012","NPT"
"NSHD","Halifax-Dartmouth",44.6096,-63.4947,"28",0.0856,"2012","NPT"
"VAHO","Hopewell",37.367,-77.2842,"28",0.2718,"2012","NPT"
"GUDE","Dededo, Guam",13.5502,144.85,"28",1.8983,"2012","NPT"
"TXST","San Antonio",29.3148,-98.608,"27",0.3253,"2012","NPT"
"AZAH","Atascosa Highlands",31.4701,-111.1728,"26",0.1254,"2012","NPT"
"MANF","New Bedford",41.6,-70.8667,"26",0.5909,"2012","NPT"
"KSPA","Parsons",37.4643,-95.2528,"26",0.8784,"2012","NPT"
"MTBG","Bigfork",48.0952,-114.0888,"26",0.3013,"2012","NPT"
"TXLP","Lost Pines",30.2209,-97.4397,"26",0.3881,"2012","NPT"
"ONKG","Kingston",44.206,-76.4611,"25",0.1712,"2012","NPT"
"ARLG","Lake Georgia-Pacific/Felsenthal N.W.R.",33.15,-92.0667,"25",0.5682,"2012","NPT"
"AZCH","Chino Valley",34.8001,-112.4,"25",0.463,"2012","NPT"
"TXUC","Uvalde County",29.2096,-99.7862,"25",0.7576,"2012","NPT"
"INMU","Muncie",40.1833,-85.3667,"24",1.0835,"2012","NPT"
"NMCA","Caballo",32.953,-107.3122,"24",0.3357,"2012","NPT"
"ALGU","Guntersville",34.3883,-86.2803,"24",0.3221,"2012","NPT"
"IDBR","Bruneau",42.9252,-115.858,"24",0.3902,"2012","NPT"
"CACM","Claremont",34.1384,-117.7073,"23",0.2044,"2012","NPT"
"TXHO","Houston",29.7497,-94.9492,"22",0.3235,"2012","NPT"
"COCR","Crook",40.8833,-102.7167,"21",0.7778,"2012","NPT"
"TXSJ","San Jacinto Wilderness",30.1672,-95.0967,"21",0.4773,"2012","NPT"
"FLSO","STA5-Clewiston",26.516,-80.916,"20",0.241,"2012","NPT"
"CODL","Delta",38.7714,-108.0394,"20",0.8333,"2012","NPT"
"VABB","Back Bay N.W.R.",36.65,-76,"20",0.1786,"2012","NPT"
"DERE","Rehoboth",38.6035,-75.1073,"20",0.2424,"2012","NPT"
"NMCC","Carlsbad Caverns N.P.",32.1772,-104.5029,"20",0.4082,"2012","NPT"
"TXPP","Palo Pinto",32.7578,-98.2933,"20",1.6667,"2012","NPT"
"NESC","Scottsbluff",41.8674,-103.6408,"19",0.6786,"2012","NPT"
"GUSO","Southern Guam, Guam",13.3589,144.7055,"19",1.4074,"2012","NPT"
"OHFR","Fremont",41.3562,-83.0766,"19",0.3234,"2012","NPT"
"TXRL","Robert Lee",31.9161,-100.4999,"18",0.5455,"2012","NPT"
"NYNN","L.I.: Northern Nassau County",40.866,-73.5938,"18",0.1109,"2012","NPT"
"OHRA","Ragersville",40.4398,-81.6288,"17",0.0592,"2012","NPT"
"BCSO","Sooke",48.3442,-123.6719,"17",0.1271,"2012","NPT"
"COPR","Pueblo Reservoir",38.2354,-104.7857,"17",0.2519,"2012","NPT"
"TXBC","Balcones Canyonlands",30.6042,-98.0179,"17",0.1295,"2012","NPT"
"ORBE","Bend",44.0642,-121.3109,"17",0.2537,"2012","NPT"
"CORA","Rawhide Energy Station",40.8628,-105.1431,"16",0.4507,"2012","NPT"
"COLV","Loveland",40.4077,-105.1653,"16",0.1337,"2012","NPT"
"TXGR","Granger",30.7062,-97.4019,"16",0.1564,"2012","NPT"
"CAYR","Yreka",41.7495,-122.5247,"16",0.2759,"2012","NPT"
"AZRC","Ramsey Canyon",31.4599,-110.2068,"16",0.1303,"2012","NPT"
"TXVC","Village Creek Drying Beds",32.7667,-97.1167,"16",0.3232,"2012","NPT"
"CACH","China Lake",35.6518,-117.7056,"16",0.2278,"2012","NPT"
"NJMA","Marmora",39.2647,-74.6472,"16",0.4324,"2012","NPT"
"ONPQ","Presqu'ile P.P.",44.0168,-77.7,"16",0.1612,"2012","NPT"
"IDNA","Nampa",43.568,-116.6729,"15",0.3529,"2012","NPT"
"MTWY","West Yellowstone",44.7992,-111.2958,"15",0.5357,"2012","NPT"
"TXEP","El Paso",31.7828,-106.4798,"15",0.2844,"2012","NPT"
"WIWA","Washington Island",45.3833,-86.8833,"15",1.25,"2012","NPT"
"BCTL","Tlell",53.5636,-131.9423,"15",0.9375,"2012","NPT"
"TNFR","Franklin-Coffee County",35.302,-86.0567,"15",0.5263,"2012","NPT"
"MICL","Clinton",42.0916,-84.0351,"15",0.1612,"2012","NPT"
"ORPD","Portland",45.5167,-122.7,"15",0.0491,"2012","NPT"
"PALN","Linesville",41.6028,-80.4296,"15",0.283,"2012","NPT"
"ONCA","Cambridge",43.3076,-80.2582,"14",0.1094,"2012","NPT"
"TXFR","Freeport",29.0172,-95.3551,"14",0.0714,"2012","NPT"
"NYQU","L.I.: Queens",40.6932,-73.7448,"14",0.175,"2012","NPT"
"ILNE","Newton",38.0441,-88.3181,"13",0.3562,"2012","NPT"
"CABV","Buena Vista, Kern County",35.2272,-119.2617,"13",0.3611,"2012","NPT"
"CAPS","Pasadena-San Gabriel Valley",34.1199,-118.0913,"13",0.0653,"2012","NPT"
"ONPP","Point Pelee",42.0186,-82.5265,"13",0.1818,"2012","NPT"
"IDBH","Buhl",42.63,-114.82,"13",0.5417,"2012","NPT"
"IDCH","Challis",44.4753,-114.2114,"13",0.3399,"2012","NPT"
"ILME","Monroe County",38.2394,-90.2333,"13",0.5778,"2012","NPT"
"CODE","Denver",39.587,-105.143,"13",0.05,"2012","NPT"
"TXBF","Buffalo Bayou",29.7715,-95.5699,"12",0.0828,"2012","NPT"
"IDCA","Cascade",44.5159,-116.0418,"12",0.5,"2012","NPT"
"NYRH","Rochester",43.2232,-77.6413,"12",0.0962,"2012","NPT"
"NYMK","L.I.: Montauk",41.05,-72,"12",0.0952,"2012","NPT"
"TXLD","Laredo",27.5,-99.4167,"12",0.24,"2012","NPT"
"CACC","Contra Costa County",37.9538,-121.9923,"12",0.0902,"2012","NPT"
"WASP","Spokane",47.7151,-117.4112,"12",0.0777,"2012","NPT"
"OKSE","Sequoyah",34.4985,-94.9695,"12",0.2222,"2012","NPT"
"TNCH","Chattanooga",35.104,-85.2292,"12",0.1263,"2012","NPT"
"ONGU","Guelph",43.5239,-80.2163,"12",0.1191,"2012","NPT"
"ILBA","Barrington",42.0668,-88.1333,"12",0.1584,"2012","NPT"
"FLAL","Alafia Banks",27.792,-82.3349,"11",0.1521,"2012","NPT"
"CASB","Santa Barbara",34.4512,-119.7627,"11",0.0314,"2012","NPT"
"ILBR","Big Rock",41.7334,-88.5077,"11",0.234,"2012","NPT"
"KSTO","Topeka",39.0483,-95.6779,"11",0.1183,"2012","NPT"
"MSDG","Dahomey-Great River Road",33.7769,-90.9545,"10",0.2581,"2012","NPT"
"KYLH","Lincolns Birthplace-Hodgenville, LaRue County",37.573,-85.74,"10",0.2985,"2012","NPT"
"AZMY","Martinez Lake-Yuma",32.8884,-114.4623,"10",0.1149,"2012","NPT"
"ARCO","Conway",35.0916,-92.4227,"10",0.155,"2012","NPT"
"CORO","Rocky Ford",38.1326,-103.679,"10",0.3509,"2012","NPT"
"AZBA","Buenos Aires N.W.R.",31.5667,-111.45,"9",0.1333,"2012","NPT"
"IADA","Davenport",41.5522,-90.5132,"9",0.1423,"2012","NPT"
"OHTC","Trumbull County",41.3845,-80.8572,"9",0.1636,"2012","NPT"
"FLZE","Zellwood-Mount Dora",28.7309,-81.6062,"9",0.0847,"2012","NPT"
"OHHR","Hoover Reservoir",40.1905,-82.9412,"9",0.1452,"2012","NPT"
"TXBO","Boerne",29.8666,-98.7901,"9",0.0905,"2012","NPT"
"TXDA","Dallas County",32.8258,-96.8312,"9",0.0703,"2012","NPT"
"MIKA","Kalamazoo",42.2963,-85.6482,"9",0.1121,"2012","NPT"
"IDHV","Hagerman Valley",42.8167,-114.9,"9",0.144,"2012","NPT"
"MSNO","Noxubee N.W.R.",33.2711,-88.7837,"9",0.1169,"2012","NPT"
"OKSL","Sooner Lake",36.4032,-97.0672,"9",0.25,"2012","NPT"
"COFC","Fort Collins",40.6454,-105.1141,"9",0.0667,"2012","NPT"
"FLEC","Econlockhatchee",28.7094,-81.1467,"8",0.0521,"2012","NPT"
"COBO","Boulder",40.0256,-105.2725,"8",0.0253,"2012","NPT"
"CAEN","Elsinore",33.6667,-117.3331,"8",0.0734,"2012","NPT"
"TXIV","Canadian River",35.9217,-100.2729,"8",0.8,"2012","NPT"
"COMO","Montrose",38.5002,-107.8674,"8",0.1829,"2012","NPT"
"PAJO","Johnstown",40.1041,-78.9673,"8",0.1139,"2012","NPT"
"TXQU","Quitaque",34.4346,-101.0739,"8",1.1034,"2012","NPT"
"NHCS","Coastal New Hampshire",42.9833,-70.8333,"8",0.058,"2012","NPT"
"COLO","Longmont",40.1741,-105.1734,"8",0.0667,"2012","NPT"
"TNSA","Savannah",35.1632,-88.1666,"8",0.0985,"2012","NPT"
"MAMI","Millis",42.1675,-71.3572,"8",0.1385,"2012","NPT"
"OHTO","Toledo",41.65,-83.5333,"8",0.0702,"2012","NPT"
"MTTF","Three Forks",45.8451,-111.5552,"8",0.2492,"2012","NPT"
"ILIL","Illini S.P.",41.317,-88.6957,"8",0.2353,"2012","NPT"
"TXGC","Gibbons Creek",30.5833,-96,"8",0.124,"2012","NPT"
"ORPR","Prineville",44.3668,-120.75,"7",0.1321,"2012","NPT"
"PEPE","Prince Edward Island N.P.",46.3817,-63.1325,"7",0.2545,"2012","NPT"
"LACA","Catahoula N.W.R.",31.508,-92.0589,"7",0.2333,"2012","NPT"
"KSBA","Baldwin",38.7824,-95.2713,"7",0.1582,"2012","NPT"
"AKCO","Cordova",60.5313,-145.6451,"7",0.2667,"2012","NPT"
"COSL","Sterling",40.6966,-103.2219,"7",0.2276,"2012","NPT"
"ILCR","Calumet City-Sand Ridge",41.6155,-87.5395,"7",0.1085,"2012","NPT"
"NYCL","Clinton",43.0825,-75.3249,"7",0.0974,"2012","NPT"
"TXLU","Lubbock County",33.5849,-101.7925,"7",0.0921,"2012","NPT"
"ONOW","Oshawa",43.9085,-78.8141,"7",0.0609,"2012","NPT"
"ONPV","Port Burwell-Vienna",42.6808,-80.7919,"7",0.0903,"2012","NPT"
"ONSC","St. Catharines",43.1152,-79.3675,"7",0.0676,"2012","NPT"
"TXCS","College Station",30.593,-96.3175,"7",0.0741,"2012","NPT"
"TXDR","Del Rio",29.4651,-100.9585,"7",0.25,"2012","NPT"
"ILMW","Morris-Wilmington",41.3034,-88.3016,"7",0.1556,"2012","NPT"
"VACL","Central Loudon",39.0905,-77.6198,"7",0.0387,"2012","NPT"
"NVSV","Snake Valley",38.9346,-114.1161,"7",0.3057,"2012","NPT"
"OHTR","Tri-Reservoir",41.1026,-81.0459,"7",0.1244,"2012","NPT"
"NMAL","Albuquerque",35.1833,-106.6167,"7",0.0465,"2012","NPT"
"VAMB","Manassas-Bull Run",38.8387,-77.4315,"6",0.0371,"2012","NPT"
"TNDK","DeKalb County",36.02,-85.85,"6",0.0899,"2012","NPT"
"MACA","Cape Ann",42.6112,-70.73,"6",0.044,"2012","NPT"
"AKTS","Tenakee Springs",57.7792,-135.2192,"6",0.4615,"2012","NPT"
"CASU","San Juan Capistrano",33.5096,-117.6078,"6",0.0514,"2012","NPT"
"ORTV","Tygh Valley",45.2525,-121.1746,"6",0.1263,"2012","NPT"
"ILSH","Shelbyville Reservoir",39.42,-88.77,"6",0.1667,"2012","NPT"
"KSOP","Oskaloosa-Perry Lake",39.2014,-95.4032,"6",0.1116,"2012","NPT"
"NELI","Lincoln",40.7992,-96.7494,"6",0.0591,"2012","NPT"
"NMGR","Gila River",32.9152,-108.584,"6",0.1552,"2012","NPT"
"WIBR","Bridgeport",42.9889,-91.0305,"6",0.1333,"2012","NPT"
"ARML","Magnolia-Lake Columbia",33.2684,-93.2832,"6",0.1519,"2012","NPT"
"CALH","Lake Henshaw",33.2112,-116.7255,"6",0.0851,"2012","NPT"
"NJNH","Northwestern Hunterdon County",40.6365,-74.9098,"6",0.6,"2012","NPT"
"MDRR","Rock Run",39.6041,-76.167,"6",0.0539,"2012","NPT"
"KSWS","Wilson Reservoir",38.9441,-98.5711,"6",0.2,"2012","NPT"
"MASP","Springfield",42.1294,-72.5089,"6",0.0531,"2012","NPT"
"SCCS","Carolina Sandhills N.W.R.",34.5041,-80.2249,"6",0.1818,"2012","NPT"
"WVCH","Charleston",38.362,-81.7143,"6",0.1081,"2012","NPT"
"NVMD","Minden",38.9542,-119.7647,"6",0.3333,"2012","NPT"
"UTLO","Logan",41.7993,-111.8333,"6",0.0503,"2012","NPT"
"IABU","Burlington",40.8365,-91.1096,"6",0.1132,"2012","NPT"
"CNSA","Saipan, C.N.M.I.",15.1991,145.7506,"6",0.2344,"2012","NPT"
"CAWB","Wallace-Bellota",38.1167,-120.9833,"6",0.0609,"2012","NPT"
"HIHO","O'ahu: Honolulu",21.3692,-157.7874,"6",0.1446,"2012","NPT"
"GASV","Savannah, GA-SC",32.0842,-81.0667,"6",0.029,"2012","NPT"
"TXAY","Armand Bayou",29.5498,-95.0489,"5",0.0331,"2012","NPT"
"ONTO","Toronto",43.7086,-79.4104,"5",0.0203,"2012","NPT"
"PAWN","Western Chester County",39.9369,-75.902,"5",0.0645,"2012","NPT"
"CACN","Carpinteria",34.4303,-119.4839,"5",0.1825,"2012","NPT"
"KSRH","Red Hills",37.13,-98.42,"5",0.1389,"2012","NPT"
"IADM","Des Moines",41.6004,-93.7037,"5",0.1064,"2012","NPT"
"VALC","Little Creek",36.8508,-76.0994,"5",0.0568,"2012","NPT"
"MNBL","Bloomington",44.8151,-93.2212,"5",0.0521,"2012","NPT"
"NSAN","Antigonish",45.6007,-61.9143,"5",0.1309,"2012","NPT"
"ORHR","Hood River",45.6167,-121.5667,"5",0.0585,"2012","NPT"
"WACK","Columbia Hills-Klickitat Valley",45.7667,-120.7833,"5",0.0826,"2012","NPT"
"FLAB","Aripeka-Bayport",28.4667,-82.5833,"5",0.098,"2012","NPT"
"NYDC","Dutchess County",41.687,-73.7933,"5",0.0416,"2012","NPT"
"PALH","Lock Haven-Jersey Shore",41.1334,-77.3667,"5",0.1408,"2012","NPT"
"CACR","Calero-Morgan Hill",37.1897,-121.7617,"5",0.0181,"2012","NPT"
"NYCA","L.I.: Captree",40.7038,-73.2493,"5",0.0401,"2012","NPT"
"GAMA","Macon",32.8321,-83.6663,"5",0.0855,"2012","NPT"
"BCHR","Harrison River",49.3163,-121.8499,"5",0.1038,"2012","NPT"
"WASE","Seattle",47.6017,-122.3341,"5",0.0284,"2012","NPT"
"CABA","Bakersfield",35.4311,-118.9173,"5",0.0909,"2012","NPT"
"OHWH","Western Hamilton County",39.2065,-84.6361,"5",0.0464,"2012","NPT"
"ILTC","Thorn Creek-Park Forest",41.4563,-87.725,"5",0.0593,"2012","NPT"
"MXCZ","Coast of Central Veracruz, Mexico",19.31,-96.2844,"5",0.2273,"2012","NPT"
"NJCC","Cumberland County",39.3325,-75.2004,"5",0.0398,"2012","NPT"
"NCCH","Cape Hatteras",35.2188,-75.6067,"5",0.076,"2012","NPT"
"ARFA","Fayetteville",36.0566,-94.1719,"5",0.0552,"2012","NPT"
"ARMR","Mississippi River S.P.",34.6529,-90.6994,"5",0.1709,"2012","NPT"
"KYEA","East Allen County",36.7426,-86.0686,"5",0.1075,"2012","NPT"
"HIKU","Moloka'i: Kualapu'u",21.1333,-157.0167,"4",0.2759,"2012","NPT"
"COPS","Pagosa Springs",37.2403,-107.0257,"4",0.1356,"2012","NPT"
"CTST","Storrs",41.8116,-72.2497,"4",0.0447,"2012","NPT"
"AKNC","Narrow Cape-Kalsin Bay",57.5226,-152.3081,"4",0.0874,"2012","NPT"
"WYCO","Cody",44.4829,-109.0565,"4",0.0502,"2012","NPT"
"MSNA","Natchez",31.6167,-91.3792,"4",0.0909,"2012","NPT"
"ORSL","Silverton",44.966,-122.7065,"4",0.0833,"2012","NPT"
"ORAS","Ashland",42.1607,-122.617,"4",0.0506,"2012","NPT"
"ONHA","Hamilton",43.2679,-79.8852,"4",0.0206,"2012","NPT"
"MOMA","Maryville",40.3463,-94.9198,"4",0.1569,"2012","NPT"
"ONPH","Peel-Halton Counties",43.4878,-79.6875,"4",0.0316,"2012","NPT"
"PARD","Reading",40.3667,-75.8667,"4",0.0352,"2012","NPT"
"CATL","Tule Lake",41.9465,-121.539,"4",0.1026,"2012","NPT"
"CAKA","Kaweah",36.3667,-119.0667,"4",0.0645,"2012","NPT"
"NCCR","Charlotte",35.1765,-80.8759,"4",0.0513,"2012","NPT"
"NDFM","Fargo-Moorhead",46.934,-96.8329,"4",0.0519,"2012","NPT"
"HIIA","Maui: I'ao Valley",20.9333,-156.5333,"4",0.8,"2012","NPT"
"TXPR","Paris",33.75,-95.5667,"4",0.381,"2012","NPT"
"BCKA","Kamloops",50.6694,-120.398,"4",0.05,"2012","NPT"
"MAMA","Marshfield",42.0973,-70.6537,"4",0.0582,"2012","NPT"
"OHCF","Cuyahoga Falls",41.1338,-81.4832,"4",0.0153,"2012","NPT"
"CASY","Sierra Valley",39.6834,-120.3664,"4",0.1127,"2012","NPT"
"ORUC","Union County",45.25,-117.8833,"4",0.0479,"2012","NPT"
"NYSM","L.I.: Smithtown",40.9133,-73.1386,"4",0.0696,"2012","NPT"
"MNCC","Cedar Creek Bog",45.3967,-93.202,"4",0.0748,"2012","NPT"
"ILLA","Lisle Arboretum",41.7518,-87.9738,"4",0.0241,"2012","NPT"
"TXFD","Falcon Dam and S.P.",26.4967,-99.0884,"4",0.1667,"2012","NPT"
"COGJ","Grand Junction",39.1208,-108.6081,"4",0.0402,"2012","NPT"
"NSYA","Yarmouth",43.8302,-66.0881,"4",0.0795,"2012","NPT"
"MEBP","Bath-Phippsburg-Georgetown",43.7803,-69.7443,"4",0.0803,"2012","NPT"
"COCS","Colorado Springs",38.8022,-104.8167,"4",0.0193,"2012","NPT"
"FRIS","Ile St.-Pierre",46.7806,-56.1917,"4",0.128,"2012","NPT"
"VACC","Cape Charles",37.1899,-75.941,"3",0.0283,"2012","NPT"
"IDBO","Boise",43.6177,-116.1995,"3",0.0317,"2012","NPT"
"OHPO","Portsmouth",38.7798,-83.1086,"3",0.0619,"2012","NPT"
"NSPI","Pictou Harbour",45.6834,-62.6167,"3",0.0638,"2012","NPT"
"NSLU","Lunenburg",44.4067,-64.2583,"3",0.0444,"2012","NPT"
"MOML","Montrose Lake Wildlife Area",38.2521,-93.8217,"3",0.0865,"2012","NPT"
"MOCP","Cole Camp Prairies IBA",38.5353,-93.2906,"3",0.049,"2012","NPT"
"MOSJ","St. Joseph",39.7973,-94.844,"3",0.0632,"2012","NPT"
"IAIC","Iowa City",41.7522,-91.6076,"3",0.0455,"2012","NPT"
"VABL","Blacksburg",37.2153,-80.469,"3",0.0302,"2012","NPT"
"IASR","Saylorville Reservoir",41.8038,-93.7562,"3",0.0273,"2012","NPT"
"CASR","Santa Rosa",38.4379,-122.7116,"3",0.0202,"2012","NPT"
"ONWI","Wiarton",44.7344,-81.1768,"3",0.0529,"2012","NPT"
"ORWC","Wallowa County",45.3748,-117.2009,"3",0.1111,"2012","NPT"
"NYBU","Buffalo",43.0016,-78.9651,"3",0.028,"2012","NPT"
"AKKO","Kodiak",57.75,-152.4833,"3",0.0329,"2012","NPT"
"AKGB","Glacier Bay",58.4506,-135.8721,"3",0.0541,"2012","NPT"
"QCQU","Quebec",46.7952,-71.2532,"3",0.0109,"2012","NPT"
"IATC","Taylor County",40.6757,-94.4713,"3",0.0896,"2012","NPT"
"NJSO","Somerset County",40.5823,-74.622,"3",0.0378,"2012","NPT"
"CASE","South Lake Tahoe",38.9412,-120.001,"3",0.2143,"2012","NPT"
"MSGR","Grenada",33.8051,-89.7016,"3",0.0952,"2012","NPT"
"ARHB","Holla Bend N.W.R.",35.166,-93.1382,"3",0.0379,"2012","NPT"
"MDSE","Seneca",39.0671,-77.3285,"3",0.0118,"2012","NPT"
"NYIT","Ithaca",42.4532,-76.4293,"3",0.0115,"2012","NPT"
"VTFE","Ferrisburg",44.1833,-73.3023,"3",0.0154,"2012","NPT"
"ORME","Medford",42.4026,-122.8559,"3",0.0233,"2012","NPT"
"PACB","Central Bucks County",40.3102,-75.1017,"3",0.0265,"2012","NPT"
"TNHI","Hiwassee",35.3655,-84.92,"3",0.0625,"2012","NPT"
"MTHA","Hamilton",46.2526,-114.1269,"3",0.0968,"2012","NPT"
"CAPP","Palos Verdes Peninsula",33.7723,-118.3279,"3",0.0142,"2012","NPT"
"GACI","Cumberland Island",30.8151,-81.4673,"3",0.0368,"2012","NPT"
"CAML","Mono Lake",37.9561,-119.1201,"3",0.0686,"2012","NPT"
"NSGB","Glace Bay",46.1417,-59.95,"3",0.0698,"2012","NPT"
"WIPV","Platteville",42.6892,-90.5833,"3",0.3261,"2012","NPT"
"OHCC","Clark County",39.9214,-83.7798,"2",0.069,"2012","NPT"
"OHGY","Gypsum",41.5,-82.8667,"2",0.0471,"2012","NPT"
"WITP","Trempealeau",44.0134,-91.4311,"2",0.0426,"2012","NPT"
"INKC","Knox County",38.6453,-87.4171,"2",0.0487,"2012","NPT"
"NSTR","Truro",45.3625,-63.3438,"2",0.0367,"2012","NPT"
"OHMT","Mentor",41.7004,-81.2589,"2",0.0329,"2012","NPT"
"ONPI","Pickering",43.9021,-79.0972,"2",0.0223,"2012","NPT"
"BCCA","Cawston",49.0961,-119.796,"2",0.0684,"2012","NPT"
"NCGV","Greenville",35.5885,-77.2387,"2",0.0667,"2012","NPT"
"NVEY","Ely",39.2355,-114.864,"2",0.04,"2012","NPT"
"WAYV","Yakima Valley",46.5919,-120.4555,"2",0.0278,"2012","NPT"
"IDJS","Jim Sage Mountains",42.15,-113.4666,"2",0.3636,"2012","NPT"
"CTSM","Stratford-Milford",41.1742,-73.1099,"2",0.0194,"2012","NPT"
"MOCF","Confluence",38.8224,-90.2433,"2",0.0338,"2012","NPT"
"COPU","Pueblo",38.1753,-104.5196,"2",0.0342,"2012","NPT"
"MITU","Tuscola U.F.A.",43.6238,-83.565,"2",0.0899,"2012","NPT"
"NMSC","Silver City",32.7381,-108.262,"2",0.0339,"2012","NPT"
"MXEG","El Yugo, Sinaloa, Mexico",23.2779,-106.4673,"2",0.1667,"2012","NPT"
"VABK","Brooke",38.3703,-77.3287,"2",0.0212,"2012","NPT"
"IDLE","Lewiston-Clarkston",46.414,-116.952,"2",0.0305,"2012","NPT"
"NYCH","Conesus-Hemlock-Honeoye Lakes",42.7776,-77.6161,"2",0.0195,"2012","NPT"
"VACN","Calmes Neck",39.1242,-77.8913,"2",0.0127,"2012","NPT"
"CALN","Lancaster",34.7043,-118.086,"2",0.0284,"2012","NPT"
"OKWA","Washita N.W.R.",35.6495,-99.2797,"2",0.0426,"2012","NPT"
"COSD","Salida",38.5,-106,"2",0.0369,"2012","NPT"
"MOJO","Joplin",37.0548,-94.4602,"2",0.0476,"2012","NPT"
"TXBV","Brownsville",25.9328,-97.4748,"2",0.0207,"2012","NPT"
"ONWO","Woodhouse Township",42.8595,-80.2202,"2",0.0153,"2012","NPT"
"GAPR","Piedmont N.W.R.-Rum Creek W.M.A.",33.0936,-83.747,"2",0.0348,"2012","NPT"
"ILMI","Meredosia Island",39.8542,-90.5937,"2",0.034,"2012","NPT"
"ILQU","Quincy",39.9318,-91.3965,"2",0.0462,"2012","NPT"
"KYCC","Calloway County",36.6003,-88.1999,"2",0.0476,"2012","NPT"
"PAHR","Harrisburg",40.234,-76.9349,"2",0.0163,"2012","NPT"
"NJLB","Long Branch",40.2502,-74.0554,"2",0.0301,"2012","NPT"
"NCWI","Wilmington",34.1401,-77.8936,"2",0.0189,"2012","NPT"
"ARAR","Arkadelphia",34.1333,-93.05,"2",0.0345,"2012","NPT"
"CARB","Red Bluff",40.2074,-122.2117,"2",0.0385,"2012","NPT"
"IDSV","Sun Valley",43.3081,-114.067,"2",0.2857,"2012","NPT"
"MSSL","Sardis Lake",34.47,-89.7222,"2",0.0386,"2012","NPT"
"ARWR","White River N.W.R.",34.3146,-91.121,"2",0.0523,"2012","NPT"
"MIBT","Battle Creek",42.3767,-85.2795,"2",0.0352,"2012","NPT"
"MAGB","Greater Boston",42.3973,-71.0955,"2",0.0085,"2012","NPT"
"NVPL","Pyramid Lake",39.944,-119.5102,"2",0.0481,"2012","NPT"
"BCCR","Campbell River",49.9666,-125.2088,"2",0.0199,"2012","NPT"
"MATR","Truro",41.9847,-70.0356,"2",0.029,"2012","NPT"
"CAMN","Manchester",39.0347,-123.6897,"2",0.0191,"2012","NPT"
"OKTU","Tulsa",36.3221,-95.9022,"2",0.0177,"2012","NPT"
"NCRK","Roanoke Rapids",36.4025,-77.5651,"2",0.1081,"2012","NPT"
"NCPI","Portsmouth Island",35,-76.1167,"2",0.0625,"2012","NPT"
"NMLC","Las Cruces",32.3,-106.7167,"2",0.0185,"2012","NPT"
"NYSY","Syracuse",43.1,-76.0833,"2",0.0182,"2012","NPT"
"NVTM","Truckee Meadows",39.4679,-119.8205,"2",0.026,"2012","NPT"
"ABCA","Calgary",51.051,-114.0848,"2",0.0084,"2012","NPT"
"AZJE","Jerome",34.7398,-112.1238,"2",0.0267,"2012","NPT"
"IACR","Cedar Rapids",41.979,-91.6695,"2",0.0421,"2012","NPT"
"NENO","Norfolk",42.0326,-97.4265,"2",0.0604,"2012","NPT"
"MAUX","Uxbridge",42.0671,-71.666,"2",0.0177,"2012","NPT"
"MACM","Cobble Mountain",42.1,-72.8333,"2",0.0254,"2012","NPT"
"NYJA","Jamestown",42.1095,-79.2284,"2",0.0343,"2012","NPT"
"INID","Indiana Dunes National Lakeshore",41.6629,-87.0096,"2",0.0267,"2012","NPT"
"MABB","Buzzards Bay",41.6517,-70.6206,"2",0.0282,"2012","NPT"
"LANA","Natchitoches",31.824,-93.0635,"2",0.037,"2012","NPT"
"MIEL","East Lansing",42.766,-84.4935,"2",0.0225,"2012","NPT"
"CABR","Bear Valley Springs",35.0945,-118.661,"2",0.0684,"2012","NPT"
"WIAS","Ashland",46.5829,-90.9064,"2",0.0672,"2012","NPT"
"BEBE","Bermuda",32.3058,-64.7585,"2",0.0336,"2012","NPT"
"ALDI","Dauphin Island",30.3385,-88.1284,"2",0.0264,"2012","NPT"
"NSCS","Cape Sable Island",43.4834,-65.6167,"2",0.0339,"2012","NPT"
"QCMO","Montreal",45.4525,-73.6443,"2",0.0166,"2012","NPT"
